Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Erin Blanchfield,win,Jessica Andrade,0,51,1,1,"UFC Fight Night: Andrade vs. Blanchfield                                   Feb. 18, 2023",SUB,2,1:37
Erin Blanchfield,win,Molly McCann,0,25,1,2,"UFC 281: Adesanya vs. Pereira                                   Nov. 12, 2022",SUB,1,3:37
Erin Blanchfield,win,JJ Aldrich,0,48,0,1,"UFC Fight Night: Volkov vs. Rozenstruik                                   Jun. 04, 2022",SUB,2,2:38
Erin Blanchfield,win,Miranda Maverick,0,46,7,1,"UFC 269: Oliveira vs. Poirier                                   Dec. 11, 2021",U-DEC,3,5:00
Erin Blanchfield,win,Sarah Alpar,0,120,3,0,"UFC Fight Night: Smith vs. Spann                                   Sep. 18, 2021",U-DEC,3,5:00
Maximo Blanco,loss,Chas Skelly,0,0,0,0,"UFC Fight Night: Poirier vs. Johnson                                   Sep. 17, 2016",SUB,1,0:19
Maximo Blanco,loss,Luke Sanders,0,16,1,1,"UFC Fight Night: Dillashaw vs Cruz                                   Jan. 17, 2016",SUB,1,3:38
Maximo Blanco,win,Mike de la Torre,1,4,0,0,"The Ultimate Fighter: American Top Team vs. Blackzilians Finale                                   Jul. 12, 2015",KO/TKO,1,0:16
Maximo Blanco,win,Dan Hooker,0,132,3,0,"UFC Fight Night: Hunt vs Nelson                                   Sep. 20, 2014",U-DEC,3,5:00
Maximo Blanco,win,Andy Ogle,1,60,1,0,"UFC Fight Night: Munoz vs Mousasi                                   May. 31, 2014",U-DEC,3,5:00
Maximo Blanco,loss,Felipe Arantes,0,44,3,0,"UFC Fight Night: Machida vs Mousasi                                   Feb. 15, 2014",U-DEC,3,5:00
Maximo Blanco,loss,Akira Corassani,0,5,1,0,"The Ultimate Fighter: Team Rousey vs. Team Tate Finale                                   Nov. 30, 2013",DQ,1,0:25
Maximo Blanco,win,Sam Sicilia,0,52,2,1,"The Ultimate Fighter: Team Jones vs. Team Sonnen Finale                                   Apr. 13, 2013",U-DEC,3,5:00
Maximo Blanco,loss,Marcus Brimage,0,18,0,0,"UFC 145: Jones vs Evans                                   Apr. 21, 2012",S-DEC,3,5:00
Maximo Blanco,loss,Pat Healy,0,35,0,0,"Strikeforce - Barnett vs. Kharitonov                                   Sep. 10, 2011",SUB,2,4:24
Curtis Blaydes,loss,Tom Aspinall,0,5,0,0,"UFC 304: Edwards vs. Muhammad 2                                    Jul. 27, 2024",KO/TKO,1,1:00
Curtis Blaydes,win,Jailton Almeida,0,16,0,0,"UFC 299: O'Malley vs. Vera 2                                   Mar. 09, 2024",KO/TKO,2,0:36
Curtis Blaydes,loss,Sergei Pavlovich,0,14,0,0,"UFC Fight Night: Pavlovich vs. Blaydes                                   Apr. 22, 2023",KO/TKO,1,3:08
Curtis Blaydes,win,Tom Aspinall,0,4,0,0,"UFC Fight Night: Blaydes vs. Aspinall                                   Jul. 23, 2022",KO/TKO,1,0:15
Curtis Blaydes,win,Chris Daukaus,1,30,0,0,"UFC Fight Night: Blaydes vs. Daukaus                                   Mar. 26, 2022",KO/TKO,2,0:17
Curtis Blaydes,win,Jairzinho Rozenstruik,0,32,3,0,"UFC 266: Volkanovski vs. Ortega                                   Sep. 25, 2021",U-DEC,3,5:00
Curtis Blaydes,loss,Derrick Lewis,0,28,0,0,"UFC Fight Night: Blaydes vs. Lewis                                   Feb. 20, 2021",KO/TKO,2,1:26
Curtis Blaydes,win,Alexander Volkov,0,69,14,0,"UFC Fight Night: Blaydes vs. Volkov                                   Jun. 20, 2020",U-DEC,5,5:00
Curtis Blaydes,win,Junior Dos Santos,0,28,0,0,"UFC Fight Night: Blaydes vs. Dos Santos                                   Jan. 25, 2020",KO/TKO,2,1:06
Curtis Blaydes,win,Shamil Abdurakhimov,0,25,5,0,"UFC 242: Khabib vs. Poirier                                   Sep. 07, 2019",KO/TKO,2,2:22
Curtis Blaydes,win,Justin Willis,0,22,7,0,"UFC Fight Night: Thompson vs. Pettis                                   Mar. 23, 2019",U-DEC,3,5:00
Curtis Blaydes,loss,Francis Ngannou,0,1,0,0,"UFC Fight Night: Blaydes vs. Ngannou 2                                   Nov. 24, 2018",KO/TKO,1,0:45
Curtis Blaydes,win,Alistair Overeem,0,37,4,0,"UFC 225: Whittaker vs. Romero 2                                   Jun. 09, 2018",KO/TKO,3,2:56
Curtis Blaydes,win,Mark Hunt,0,56,10,0,"UFC 221: Romero vs. Rockhold                                   Feb. 10, 2018",U-DEC,3,5:00
Curtis Blaydes,win,Aleksei Oleinik,1,39,4,0,"UFC 217: Bisping vs. St-Pierre                                   Nov. 04, 2017",KO/TKO,2,1:39
Curtis Blaydes,win,Daniel Omielanczuk,0,72,0,0,"UFC 213: Romero vs. Whittaker                                   Jul. 08, 2017",U-DEC,3,5:00
Curtis Blaydes,nc,Adam Milstead,0,25,8,0,"UFC Fight Night: Bermudez vs. The Korean Zombie                                   Feb. 04, 2017",Overturned,2,0:59
Curtis Blaydes,win,Cody East,0,52,5,0,"UFC Fight Night: Lineker vs. Dodson                                   Oct. 01, 2016",KO/TKO,2,2:02
Curtis Blaydes,loss,Francis Ngannou,0,24,2,0,"UFC Fight Night: Rothwell vs Dos Santos                                   Apr. 10, 2016",KO/TKO,2,5:00
Tereza Bleda,win,Gabriella Fernandes,0,57,3,0,"UFC Fight Night: Vettori vs. Cannonier                                   Jun. 17, 2023",U-DEC,3,5:00
Tereza Bleda,loss,Natalia Silva,0,18,1,2,"UFC Fight Night: Nzechukwu vs. Cutelaba                                   Nov. 19, 2022",KO/TKO,3,1:27
Tereza Bleda,win,Nayara Maia,1,50,1,0,"DWCS 6.7                                   Sep. 06, 2022",U-DEC,3,5:00
Byron Bloodworth,loss,Erik Perez,0,8,0,0,"UFC 155: Dos Santos vs Velasquez II                                   Dec. 29, 2012",KO/TKO,1,3:50
Byron Bloodworth,loss,Mike Easton,0,17,0,0,"UFC Live: Cruz vs Johnson                                   Oct. 01, 2011",KO/TKO,2,4:52
Dashawn Boatwright,loss,Alonzo Menifield,0,0,0,0,"DWCS 2.1                                   Jun. 12, 2018",KO/TKO,1,0:08
Dan Bobish,loss,Mark Hunt,0,20,1,1,"PRIDE 28: High Octane                                   Oct. 31, 2004",KO/TKO,1,6:23
Dan Bobish,loss,Igor Vovchanchyn,0,18,2,1,"PRIDE 27: Inferno                                   Feb. 01, 2004",KO/TKO,2,1:45
Dan Bobish,loss,Gary Goodridge,0,0,0,0,"PRIDE Final Conflict 2003                                   Nov. 09, 2003",KO/TKO,1,0:18
Dan Bobish,loss,Mark Kerr,0,0,0,0,"UFC 14: Showdown                                    Jul. 27, 1997",SUB,1,1:38
Dan Bobish,win,Brian Johnston,0,9,1,1,"UFC 14: Showdown                                   Jul. 27, 1997",SUB,1,2:10
Mark Bocek,win,Mike de la Torre,0,70,3,0,"UFC Fight Night: Bisping vs Kennedy                                   Apr. 16, 2014",S-DEC,3,5:00
Mark Bocek,loss,Rafael Dos Anjos,0,19,0,1,"UFC 154: St-Pierre vs Condit                                   Nov. 17, 2012",U-DEC,3,5:00
Mark Bocek,win,John Alessio,0,74,5,0,"UFC 145: Jones vs Evans                                   Apr. 21, 2012",U-DEC,3,5:00
Mark Bocek,win,Nik Lentz,0,46,5,0,"UFC 140: Jones vs Machida                                   Dec. 10, 2011",U-DEC,3,5:00
Mark Bocek,loss,Benson Henderson,0,11,4,2,"UFC 129: St-Pierre vs Shields                                   Apr. 30, 2011",U-DEC,3,5:00
Mark Bocek,win,Dustin Hazelett,0,9,1,1,"UFC 124: St-Pierre vs Koscheck 2                                   Dec. 11, 2010",SUB,1,2:33
Mark Bocek,loss,Jim Miller,0,17,4,1,"UFC 111: St-Pierre vs Hardy                                   Mar. 27, 2010",U-DEC,3,5:00
Mark Bocek,win,Joe Brammer,0,6,2,1,"The Ultimate Fighter: Heavyweights Finale                                   Dec. 05, 2009",SUB,1,3:36
Mark Bocek,win,David Bielkheden,0,20,1,1,"UFC 97: Redemption                                   Apr. 18, 2009",SUB,1,4:57
Mark Bocek,win,Alvin Robinson,0,21,1,6,"UFC 91: Couture vs Lesnar                                   Nov. 15, 2008",SUB,3,3:16
Mark Bocek,loss,Mac Danzig,0,22,3,0,"UFC 83: Serra vs St-Pierre 2                                   Apr. 19, 2008",SUB,3,3:48
Mark Bocek,win,Doug Evans,0,26,7,0,"UFC 79: Nemesis                                   Dec. 29, 2007",U-DEC,3,5:00
