Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Katlyn Cerminara,loss,Maycee Barber,0,66,1,0,"UFC 299: O'Malley vs. Vera 2                                   Mar. 09, 2024",U-DEC,3,5:00
Katlyn Cerminara,loss,Manon Fiorot,0,76,0,0,"UFC 280: Oliveira vs. Makhachev                                   Oct. 22, 2022",U-DEC,3,5:00
Katlyn Cerminara,win,Amanda Ribas,0,63,0,0,"UFC Fight Night: Blachowicz vs. Rakic                                   May. 14, 2022",S-DEC,3,5:00
Katlyn Cerminara,win,Jennifer Maia,0,72,1,0,"UFC Fight Night: Kattar vs. Chikadze                                   Jan. 15, 2022",U-DEC,3,5:00
Katlyn Cerminara,win,Viviane Araujo,0,127,0,0,"UFC 262: Oliveira vs. Chandler                                   May. 15, 2021",U-DEC,3,5:00
Katlyn Cerminara,win,Cynthia Calvillo,0,69,0,0,"UFC 255: Figueiredo vs. Perez                                   Nov. 21, 2020",U-DEC,3,5:00
Katlyn Cerminara,loss,Jessica Andrade,0,19,0,0,"UFC Fight Night: Ortega vs. The Korean Zombie                                   Oct. 17, 2020",KO/TKO,1,4:55
Katlyn Cerminara,win,Antonina Shevchenko,0,73,3,4,"UFC Fight Night: Woodley vs. Burns                                   May. 30, 2020",U-DEC,3,5:00
Katlyn Cerminara,loss,Valentina Shevchenko,0,17,0,0,"UFC 247: Jones vs. Reyes                                    Feb. 08, 2020",KO/TKO,3,1:03
Katlyn Cerminara,win,Jennifer Maia,0,73,0,0,"UFC 244: Masvidal vs. Diaz                                   Nov. 02, 2019",U-DEC,3,5:00
Katlyn Cerminara,win,Joanne Wood,0,82,0,0,"UFC 238: Cejudo vs. Moraes                                   Jun. 08, 2019",U-DEC,3,5:00
Katlyn Cerminara,loss,Jessica Eye,0,65,0,0,"UFC 231: Holloway vs. Ortega                                   Dec. 08, 2018",S-DEC,3,5:00
Katlyn Cerminara,win,Alexis Davis,0,62,0,0,"UFC Fight Night: Alvarez vs. Poirier 2                                   Jul. 28, 2018",U-DEC,3,5:00
Katlyn Cerminara,win,Mara Romero Borella,0,68,0,1,"UFC Fight Night: Jacare vs. Brunson 2                                   Jan. 27, 2018",U-DEC,3,5:00
Katlyn Cerminara,win,Irene Aldana,0,105,0,0,"UFC 210: Cormier vs. Johnson 2                                   Apr. 08, 2017",S-DEC,3,5:00
Katlyn Cerminara,loss,Liz Carmouche,1,22,0,0,"UFC 205: Alvarez vs McGregor                                   Nov. 12, 2016",S-DEC,3,5:00
Katlyn Cerminara,win,Lauren Murphy,0,45,0,0,"UFC Fight Night: McDonald vs. Lineker                                   Jul. 13, 2016",U-DEC,3,5:00
Rafael Cerqueira,loss,Modestas Bukauskas,0,9,0,0,"UFC Fight Night: Cejudo vs. Song                                   Feb. 22, 2025",KO/TKO,1,2:12
Rafael Cerqueira,loss,Ibo Aslan,0,1,0,0,"UFC 308: Topuria vs. Holloway                                   Oct. 26, 2024",KO/TKO,1,0:51
Donald Cerrone,loss,Jim Miller,0,21,0,0,"UFC 276: Adesanya vs. Cannonier                                   Jul. 02, 2022",SUB,2,1:32
Donald Cerrone,loss,Alex Morono,0,17,0,0,"UFC Fight Night: Rodriguez vs. Waterson                                   May. 08, 2021",KO/TKO,1,4:40
Donald Cerrone,nc,Niko Price,0,113,0,0,"UFC Fight Night: Covington vs. Woodley                                   Sep. 19, 2020",Overturned,3,5:00
Donald Cerrone,loss,Anthony Pettis,0,62,2,0,"UFC 249: Ferguson vs. Gaethje                                   May. 09, 2020",U-DEC,3,5:00
Donald Cerrone,loss,Conor McGregor,0,0,0,0,"UFC 246: McGregor vs. Cowboy                                   Jan. 18, 2020",KO/TKO,1,0:40
Donald Cerrone,loss,Justin Gaethje,0,17,0,0,"UFC Fight Night: Cowboy vs. Gaethje                                   Sep. 14, 2019",KO/TKO,1,4:18
Donald Cerrone,loss,Tony Ferguson,0,68,1,0,"UFC 238: Cejudo vs. Moraes                                   Jun. 08, 2019",KO/TKO,2,5:00
Donald Cerrone,win,Al Iaquinta,2,138,0,0,"UFC Fight Night: Iaquinta vs. Cowboy                                   May. 04, 2019",U-DEC,5,5:00
Donald Cerrone,win,Alexander Hernandez,1,80,1,0,"UFC Fight Night: Cejudo vs. Dillashaw                                   Jan. 19, 2019",KO/TKO,2,3:43
Donald Cerrone,win,Mike Perry,0,9,0,1,"UFC Fight Night: Korean Zombie vs. Rodriguez                                   Nov. 10, 2018",SUB,1,4:46
Donald Cerrone,loss,Leon Edwards,0,60,1,0,"UFC Fight Night: Cowboy vs. Edwards                                   Jun. 23, 2018",U-DEC,5,5:00
Donald Cerrone,win,Yancy Medeiros,3,28,0,0,"UFC Fight Night: Cerrone vs. Medeiros                                   Feb. 18, 2018",KO/TKO,1,4:58
Donald Cerrone,loss,Darren Till,0,14,1,0,"UFC Fight Night: Cerrone vs. Till                                   Oct. 21, 2017",KO/TKO,1,4:20
Donald Cerrone,loss,Robbie Lawler,0,82,1,0,"UFC 214: Cormier vs. Jones 2                                   Jul. 29, 2017",U-DEC,3,5:00
Donald Cerrone,loss,Jorge Masvidal,0,30,0,0,"UFC on FOX: Shevchenko vs. Pena                                   Jan. 28, 2017",KO/TKO,2,1:00
Donald Cerrone,win,Matt Brown,2,63,0,0,"UFC 206: Holloway vs. Pettis                                   Dec. 10, 2016",KO/TKO,3,0:34
Donald Cerrone,win,Rick Story,1,45,1,1,"UFC 202: Diaz vs. McGregor 2                                   Aug. 20, 2016",KO/TKO,2,2:02
Donald Cerrone,win,Patrick Cote,3,73,2,1,"UFC Fight Night: MacDonald vs Thompson                                   Jun. 18, 2016",KO/TKO,3,2:35
Donald Cerrone,win,Alex Oliveira,0,4,1,1,"UFC Fight Night: Cowboy vs Cowboy                                   Feb. 21, 2016",SUB,1,2:33
Donald Cerrone,loss,Rafael Dos Anjos,0,4,0,0,"UFC on FOX: Dos Anjos vs. Cowboy 2                                    Dec. 19, 2015",KO/TKO,1,1:06
Donald Cerrone,win,John Makdessi,0,71,0,0,"UFC 187: Johnson vs Cormier                                   May. 23, 2015",KO/TKO,2,4:44
Donald Cerrone,win,Benson Henderson,0,57,1,0,"UFC Fight Night: McGregor vs Siver                                   Jan. 18, 2015",U-DEC,3,5:00
Donald Cerrone,win,Myles Jury,0,37,1,2,"UFC 182: Jones vs Cormier                                   Jan. 03, 2015",U-DEC,3,5:00
Donald Cerrone,win,Eddie Alvarez,1,88,0,0,"UFC 178: Johnson vs Cariaso                                   Sep. 27, 2014",U-DEC,3,5:00
Donald Cerrone,win,Jim Miller,1,37,0,0,"UFC Fight Night: Cowboy vs Miller                                   Jul. 16, 2014",KO/TKO,2,3:31
Donald Cerrone,win,Edson Barboza,1,11,0,2,"UFC on FOX: Werdum vs Browne                                   Apr. 19, 2014",SUB,1,3:15
Donald Cerrone,win,Adriano Martins,1,16,1,0,"UFC on FOX: Henderson vs Thomson                                   Jan. 25, 2014",KO/TKO,1,4:40
Donald Cerrone,win,Evan Dunham,1,32,1,1,"UFC 167: St-Pierre vs Hendricks                                   Nov. 16, 2013",SUB,2,3:49
Donald Cerrone,loss,Rafael Dos Anjos,0,40,1,0,"UFC Fight Night: Condit vs Kampmann 2                                   Aug. 28, 2013",U-DEC,3,5:00
Donald Cerrone,win,KJ Noons,0,78,4,0,"UFC 160: Velasquez vs Silva 2                                   May. 25, 2013",U-DEC,3,5:00
Donald Cerrone,loss,Anthony Pettis,0,4,0,0,"UFC on FOX: Johnson vs Dodson                                   Jan. 26, 2013",KO/TKO,1,2:35
Donald Cerrone,win,Melvin Guillard,1,4,0,0,"UFC 150: Henderson vs Edgar II                                   Aug. 11, 2012",KO/TKO,1,1:16
Donald Cerrone,win,Jeremy Stephens,0,87,1,0,"UFC on FUEL TV: Korean Zombie vs Poirier                                   May. 15, 2012",U-DEC,3,5:00
Donald Cerrone,loss,Nate Diaz,0,96,0,0,"UFC 141: Lesnar vs Overeem                                   Dec. 30, 2011",U-DEC,3,5:00
Donald Cerrone,win,Dennis Siver,2,9,0,1,"UFC 137: Penn vs Diaz                                   Oct. 29, 2011",SUB,1,2:22
Donald Cerrone,win,Charles Oliveira,0,30,0,0,"UFC Live: Hardy vs Lytle                                   Aug. 14, 2011",KO/TKO,1,3:01
Donald Cerrone,win,Vagner Rocha,0,86,0,0,"UFC 131: Dos Santos vs Carwin                                   Jun. 11, 2011",U-DEC,3,5:00
Donald Cerrone,win,Paul Kelly,0,37,3,1,"UFC 126: Silva vs Belfort                                   Feb. 05, 2011",SUB,2,3:48
Donald Cerrone,win,Chris Horodecki,0,23,2,3,"WEC 53: Henderson vs. Pettis                                   Dec. 16, 2010",SUB,2,2:43
Donald Cerrone,win,Jamie Varner,1,67,3,0,"WEC 51: Aldo vs. Gamburyan                                   Sep. 30, 2010",U-DEC,3,5:00
Donald Cerrone,loss,Benson Henderson,0,1,0,0,"WEC 48: Aldo vs. Faber                                    Apr. 24, 2010",SUB,1,1:57
Donald Cerrone,win,Ed Ratcliff,0,48,3,4,"WEC 45: Cerrone vs. Ratcliff                                   Dec. 19, 2009",SUB,3,3:47
Donald Cerrone,loss,Benson Henderson,0,28,1,9,"WEC 43: Cerrone vs. Henderson                                    Oct. 10, 2009",U-DEC,5,5:00
Donald Cerrone,win,James Krause,1,14,0,3,"WEC 41: Brown vs. Faber 2                                   Jun. 07, 2009",SUB,1,4:38
Donald Cerrone,loss,Jamie Varner,0,44,1,2,"WEC 38: Varner vs. Cerrone                                    Jan. 25, 2009",S-DEC,5,1:48
Donald Cerrone,win,Rob McCullough,3,72,2,2,"WEC 36: Faber vs. Brown                                   Nov. 05, 2008",U-DEC,3,5:00
